x,y,J,P_finish,P_onsite,P_H,P_N,P_normal,P_finish_N,P_finish_normal,probability_residual,mec_gap,angle_calls,root_count,depth_capped,distance_K1,x_global,y_global,level,scan
-1300.0,700.0,747.610334062616,6.39204074981163e-06,0.0,0.0,0.999993144349696,6.39204074981163e-06,0.0,6.39204074981163e-06,-4.63609553968958e-07,1.13686837721616e-13,108.0,0.0,0.0,1480.84464181492,-1300.0,700.0,2,6
-1300.0,800.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1530.64803295386,-1300.0,800.0,2,6
-1300.0,900.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1585.20217902295,-1300.0,900.0,2,6
-1300.0,1000.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1644.03421374759,-1300.0,1000.0,2,6
-1300.0,1100.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1706.70180276644,-1300.0,1100.0,2,6
-1300.0,1200.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1772.79823757803,-1300.0,1200.0,2,6
-1300.0,1300.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1841.95443449434,-1300.0,1300.0,2,6
-1300.0,1400.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1913.8387304961,-1300.0,1400.0,2,6
-1300.0,1500.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1988.15523386391,-1300.0,1500.0,2,6
-1300.0,1600.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,2064.64132031063,-1300.0,1600.0,2,6
-1200.0,0.0,740.786466591299,6.13190928905567e-08,0.0,0.0,0.988634153264461,0.0113602062762078,0.0,6.13190928905567e-08,-5.64045933071355e-06,1.13686837721616e-13,132.0,2.0,0.0,1204.9992416354,-1200.0,0.0,2,6
-1200.0,100.0,740.835452826075,1.06317502571653e-05,0.0,0.0,0.988993959777556,0.0109579460320545,0.0,1.06317502571653e-05,-4.80941903898691e-05,1.13686837721616e-13,132.0,2.0,0.0,1209.13428531964,-1200.0,100.0,2,6
-1200.0,200.0,741.271157530231,2.88615735775044e-05,0.0,0.0,0.990067762436707,0.00980698571965457,0.0,2.88615735775044e-05,-0.000125251843638097,1.13686837721616e-13,132.0,2.0,0.0,1221.46971617351,-1200.0,200.0,2,6
-1200.0,300.0,742.238984991698,4.51321375675173e-05,0.0,0.0,0.991839144045168,0.00806864952860002,0.0,4.51321375675173e-05,-9.22064262315336e-05,1.13686837721616e-13,132.0,2.0,0.0,1241.76117475244,-1200.0,300.0,2,6
-1200.0,400.0,743.701871494308,5.70958283597208e-05,0.0,0.0,0.994177128167329,0.00599124072282843,0.0,5.70958283597208e-05,0.000168368890157033,1.13686837721616e-13,132.0,2.0,0.0,1269.62725345517,-1200.0,400.0,2,6
-1200.0,500.0,744.890147126747,6.28291591083584e-05,0.0,0.0,0.996038914402066,0.00387859691847522,0.0,6.28291591083584e-05,-8.24886794583701e-05,1.13686837721616e-13,132.0,2.0,0.0,1304.58265752297,-1200.0,500.0,2,6
-1200.0,600.0,746.204027898581,6.03959692889987e-05,0.0,0.0,0.997973534533255,0.00204438079671181,0.0,6.03959692889987e-05,1.79153299670887e-05,1.13686837721616e-13,132.0,2.0,0.0,1346.07520514392,-1200.0,600.0,2,6
-1200.0,700.0,747.111528638698,4.81924594983347e-05,0.0,0.0,0.999285290039748,0.000749137354121367,0.0,4.81924594983347e-05,3.4427393869052e-05,1.13686837721616e-13,132.0,2.0,0.0,1393.52108182719,-1200.0,700.0,2,6
-1200.0,800.0,747.528623020854,2.46265687388313e-05,0.0,0.0,0.999879984435306,0.000114113974824895,0.0,2.46265687388313e-05,-5.9015898687953e-06,1.13686837721616e-13,132.0,2.0,0.0,1446.33452323118,-1200.0,800.0,2,6
-1200.0,900.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1503.95016562516,-1200.0,900.0,2,6
-1200.0,1000.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1565.83800192661,-1200.0,1000.0,2,6
-1200.0,1100.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1631.51193555887,-1200.0,1100.0,2,6
-1200.0,1200.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1700.53337028846,-1200.0,1200.0,2,6
-1200.0,1300.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1772.5112950439,-1200.0,1300.0,2,6
-1200.0,1400.0,747.615393469891,0.0,0.0,0.0,0.999999999999998,0.0,0.0,0.0,-1.88737914186277e-15,1.13686837721616e-13,12.0,0.0,0.0,1847.10011603371,-1200.0,1400.0,2,6
